    1428	000382425148_00_02	0.000	 10580	  8.846	1357.16	 11.939	 2	382425148	       	 5733.00	 11.441	             	         	         	           	           	350.069448	-44.065212	         	
    1429	000224285325_01_02	0.000	 28650	  1.134	1354.39	  0.386	 2	224285325	       	 7111.00	  7.006	    82.532120	 4.181690	 1.579920	-857.074000	 255.461000	356.637025	-41.581904	 1.689220	 0.327775
    1430	000089256802_01_04	0.000	 19160	  4.981	1414.23	 18.916	 4	 89256802	       	 3054.00	 13.801	             	 5.089620	 0.150000	  61.410000	  95.260000	 58.724900	-26.423700	 0.183000	24.475900
    1431	000261376909_01_01	0.000	 40830	  0.450	1325.33	  0.254	 1	261376909	       	        	 12.021	             	         	         	           	           	 92.933134	-81.822983	         	
    1432	000355601117_01_01	0.000	  4640	  6.227	1326.55	  4.153	 1	355601117	       	 5364.00	 11.171	   572.432800	 3.593230	 0.928615	  -0.538536	   1.695110	357.668576	-57.506001	 2.549860	 0.056013
    1433	000422847864_00_04	0.000	 22110	  3.414	1412.73	 21.280	 4	422847864	       	 3113.00	 14.021	             	 5.062210	 0.175000	 -24.190000	 -34.200000	 37.125400	  3.895700	 0.204000	20.613300
    1434	000350479101_01_99	0.000	  1410	  2.481	1348.55	 54.098	99	350479101	 -0.920	 6662.60	  9.264	   224.781738	 4.570000	 1.331910	   2.873270	   2.290170	 85.794493	-59.144745	 1.869630	 0.203802
    1435	000422653412_00_04	0.000	  9660	  1.757	1412.48	 22.986	 4	422653412	       	 3426.00	 10.980	    46.449696	 4.900550	 0.353000	 -68.780000	 113.860000	 29.062200	  0.102500	 0.349000	 8.304210
    1436	000244161194_00_03	0.000	  1770	  5.578	1392.80	 11.977	 3	244161194	       	 3802.00	  8.317	             	         	         	 -17.807600	  -5.011170	  4.881041	 -5.951790	         	
    1437	000260128957_02_99	0.000	  7960	  4.668	1348.94	 53.853	99	260128957	 -1.050	 4516.80	 10.875	   500.542000	 1.110000	 0.710229	   4.678790	   2.314630	 92.273703	-58.839645	 0.739736	 1.754560
    1438	000025133286_02_01	0.000	 54160	  7.500	1330.28	  5.929	 1	 25133286	       	 4564.00	 13.183	             	         	         	           	           	 62.297452	-71.294807	         	
    1439	000032090583_00_03	0.000	 19140	  5.008	1388.72	 15.246	 3	 32090583	       	 3146.00	 13.551	             	         	         	           	           	 58.420270	-68.739532	         	
    1440	000049687260_00_02	0.000	  1010	 15.338	1356.75	 21.433	 2	 49687260	       	 5271.00	  9.474	    70.554500	 4.572050	 0.903327	 -18.708600	  82.694800	351.711945	-11.870716	 0.814916	 1.669190
    1441	000141770299_02_99	0.000	  4290	  0.673	1325.48	  0.200	99	141770299	       	 6227.00	  9.057	   117.006000	 4.265120	 1.202462	 106.950000	  21.370000	 91.858532	-76.926947	 1.338720	 0.501188
    1442	000206327797_01_01	0.000	 32380	  2.687	1325.45	  0.224	 1	206327797	       	 3342.00	  9.670	             	 4.944110	 0.300000	 -27.640000	-133.750000	354.066200	-48.583500	 0.306000	10.470200
    1443	000003892978_01_03	0.000	  8470	  9.478	1390.21	 12.397	 3	  3892978	       	 3345.00	 12.601	    82.451775	 4.941330	 0.302000	-124.150000	  77.960000	 11.017900	-11.748000	 0.308000	10.336100
    1444	000381925231_00_99	0.000	  3630	 14.964	1332.59	 61.609	99	381925231	       	 3195.00	 13.568	             	         	         	           	           	 76.272918	-56.553867	         	
    1445	000149913598_00_99	0.000	  7350	  3.061	1342.86	 51.361	99	149913598	       	 3172.00	 12.951	             	         	         	-110.339000	   7.840150	 88.110087	-64.261049	         	
    1446	000251065647_00_04	0.000	   460	  3.113	1412.30	 21.222	 4	251065647	       	        	  5.282	   431.129974	         	         	   5.087260	  15.147600	 36.872648	 -0.751540	         	
