    2928	000270187694_00_02	0.159	   160	  2.941	1356.18	  5.002	 2	270187694	       	 3464.00	  5.080	   707.125732	         	         	 -31.272700	 -15.852000	351.858735	-12.930185	         	
    2929	000237913659_00_99	0.159	   440	  1.806	1325.38	  0.645	99	237913659	       	 3683.00	 11.067	    68.533040	 4.783070	 0.518000	-222.930000	  -2.190000	 22.473300	-62.946800	 0.484000	 4.568710
    2930	000279053000_01_99	0.158	    90	  1.594	1325.36	  0.459	99	279053000	       	 7870.00	  8.020	   132.542557	 4.296890	 1.878110	   5.191760	  -7.081340	102.149737	-58.467316	 1.612980	 0.447542
    2931	000052368076_02_02	0.158	   880	  3.536	1362.83	 10.665	 2	 52368076	       	 5154.00	 10.138	   110.608887	 4.470720	 0.871105	-122.689000	-120.164000	 23.594697	-66.675830	 0.899270	 1.197840
    2932	000278956474_01_02	0.158	 33280	  3.209	1359.06	  5.674	 2	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
    2933	000364425591_00_04	0.158	  2740	  2.785	1417.01	 16.522	 4	364425591	  0.053	 5227.86	 10.487	   127.442406	 4.518120	 0.941480	  16.517100	  15.772600	 69.550483	-72.351281	 0.934832	 1.152420
    2934	000350146296_01_99	0.157	   370	  9.103	1327.03	  2.660	99	350146296	       	 7690.00	  9.154	   208.576340	 4.331450	 1.804880	  14.006200	  -1.370300	115.739541	-63.702000	 1.519540	 0.514413
    2935	000250386181_00_04	0.155	  2590	  1.377	1412.38	  1.470	 4	250386181	 -0.492	 6321.46	  9.880	   160.533737	 4.198400	 1.195620	 -27.853200	  26.674200	 30.114395	 -4.985569	 1.051110	 1.029550
    2936	000041484615_00_04	0.155	  1030	  5.013	1417.04	 16.471	 4	 41484615	 -0.510	 5356.50	  9.250	   144.823425	 3.510000	 1.155810	  58.186500	  43.946700	 93.553129	-69.029125	 1.926530	 0.161644
    2937	000309702975_00_01	0.155	   940	  6.344	1326.95	  1.969	 1	309702975	       	 6091.00	 10.858	   174.882523	 4.681280	 1.142720	  70.725700	   2.670550	 79.708728	-64.950694	 0.808251	 2.164220
