    4428	000290045270_00_01	0.006	  4290	  6.310	1330.79	 12.777	 1	290045270	       	 5824.00	 10.085	   178.695000	 4.336760	 1.048638	 -11.500000	  25.400000	318.897991	-29.915492	 1.151200	 0.687351
    4429	000029495621_00_01	0.006	  1650	  3.739	1326.08	 21.682	 1	 29495621	       	 6270.00	  5.549	    21.003990	 4.360000	 1.207489	 -65.000000	  95.000000	314.197165	-26.296424	 1.195430	 0.706816
    4430	000214913775_02_01	0.006	  8210	  2.086	1334.18	 14.826	 1	214913775	       	 3498.00	  9.918	    33.207355	 4.856190	 0.466000	-232.000000	 740.000000	342.072400	-36.789800	 0.422000	 6.200810
    4431	000278992159_00_99	0.005	   540	  3.524	1327.67	 21.739	99	278992159	       	 6300.00	  8.052	   160.525757	         	 1.268650	 -11.277500	  -0.615142	102.062172	-56.085911	 2.679590	 0.065938
    4432	000167696452_00_03	0.005	   330	  6.008	1393.94	  8.013	 3	167696452	  0.068	 5429.08	  9.829	   120.204071	 4.216360	 1.081600	  56.779300	  24.439800	102.926575	-61.931570	 1.251080	 0.552346
    4433	000092731064_01_01	0.005	  2610	  6.033	1326.00	 16.870	 1	 92731064	       	 4234.00	 10.916	    68.474800	 4.582450	 0.662119	-217.850000	  32.770000	316.613988	-31.937203	 0.689379	 2.020980
    4434	000212320065_02_01	0.005	  2120	  2.112	1330.55	 21.941	 1	212320065	       	58450.00	 11.076	  1301.653930	 5.000990	 0.500000	 -10.627700	  -3.971350	309.710442	-26.965071	 0.370000	 9.871080
    4435	000268858663_01_03	0.005	   290	  3.533	1392.68	 10.007	 3	268858663	       	 3150.00	  5.125	   991.669861	         	         	  -4.434790	  13.987100	 33.898720	-23.368855	         	
    4436	000176872955_00_99	0.005	   140	  5.907	1335.36	 15.029	99	176872955	       	 5635.00	  9.570	   181.481308	 3.982570	 0.998812	 -65.217000	 -30.349300	100.499606	-72.033344	 1.689160	 0.207239
    4437	000260502102_02_02	0.005	  6460	  5.592	1361.72	 14.468	 2	260502102	 -0.477	 5177.92	 10.939	   119.571000	 4.457030	 0.792699	 -16.918100	 -52.774600	 96.515981	-59.016186	 0.868123	 1.211610
    4438	000031945773_02_99	0.005	   200	  1.046	1325.45	  0.297	99	 31945773	       	 5448.00	 10.543	   184.850100	 4.333920	 0.951024	  17.134300	 -18.432600	 54.795284	-69.314913	 1.099890	 0.714733
    4439	000280831485_01_99	0.005	   710	  0.500	1354.27	  0.219	99	280831485	       	 7301.00	  9.711	   270.567169	 4.250530	 1.650380	  -2.564820	 -12.002500	 44.882730	-70.252312	 1.594930	 0.406779
    4440	000234334772_00_01	0.005	   240	  5.102	1332.84	  8.287	 1	234334772	       	 3134.00	  3.782	   282.485870	         	         	   1.100000	 -20.600000	 36.360305	-66.493965	         	
    4441	000140066924_00_01	0.005	   540	  3.174	1336.18	 12.259	 1	140066924	       	 6592.85	  7.848	    86.921000	         	 1.354350	  13.011100	  36.469300	330.139605	-51.492225	 1.376950	 0.518772
